;source;id;title;objectives
173;skyrim;74445;Pantea's Flute (Quest);"Find Pantea's Flute 
Return Pantea's Flute"
174;skyrim;54331;Pieces of the Past;"Speak to Silus inside his house 
Retrieve the pommel of Mehrunes' Razor 
Retrieve the blade shards of Mehrunes' Razor 
Retrieve the hilt of Mehrunes' Razor 
Bring the pommelstone to Silus 
Bring the blade shards to Silus 
Bring the hilt to Silus 
Meet Silus at the Shrine of Mehrunes Dagon 
Speak to Mehrunes Dagon 
Kill Silus (optional) 
Speak to Mehrunes Dagon (if Silus was killed) 
Reforge Mehrunes' Razor (if Silus was killed) 
Claim Mehrunes' Razor (if Silus was killed)"
175;skyrim;932713;Pilgrimage (Skyrim);"Bring Alessandra's Dagger to Andurs in Whiterun 
Return to Alessandra"
176;skyrim;61009;Promises to Keep;"Speak to Louis Letrush 
Speak to Sibbi Black-Briar 
Tell Maven Black-Briar about the plan (optional) 
Steal Frost's lineage papers 
Steal the lodge stash (optional) 
Steal Frost 
Return to Louis Letrush"
177;skyrim;50274;Proving Honor;"Speak to Skjor 
Speak to Farkas 
Retrieve the fragment 
Return to Jorrvaskr 
Follow Vilkas"
178;skyrim;68534;Purity;"Collect a Glenmoril Witch Head 
Cleanse the quest giver of beastblood 
Kill the quest giver's wolf spirit 
Talk to the quest giver"
179;skyrim;61761;Purity of Revenge;"Retrieve the fragments of Wuuthrad 
Wipe out the Silver Hand (optional) 
Return to Jorrvaskr"
180;skyrim;869102;Quest all Beggars Have;Give a beggar a gold coin
181;skyrim;159315;Quest all Drunks Have;Give someone an alcoholic drink
182;skyrim;873562;Rannveig's Fast (Quest);"Enter the Rannveig's Fast 
Fall into Sild the Warlock's trap, or sneak into his chamber 
Kill Sild 
Learn the word of power"
183;skyrim;159314;Rare Gifts;Bring the quest item to the quest giver
184;skyrim;213902;Rebuilding the Blades;"Bring a follower to Delphine (three times) 
Ask Esbern about dragon lairs"
185;skyrim;50562;Recipe for Disaster;"Report to Festus Krex 
Question Anton Virane 
Kill Anton Virane 
Kill Balagog gro-Nolob 
Take the Writ of Passage 
Report back to Festus Krex"
186;skyrim;99046;Recover Hrolfdir's Shield;"Find Hrolfdir's Shield for Igmund 
Bring Hrolfdir's Shield to Igmund"
187;skyrim;80452;Recruitment Drive;Talk to Rikke about joining the Imperial Legion
188;skyrim;113416;Rejoining the College;"Speak with Tolfdir 
Give Tolfdir 250 gold to lift your suspension (first suspension) 
Pay Tolfdir 500 gold to lift your suspension (second suspension) 
Pay Tolfdir 1000 gold to lift your suspension (third suspension)"
189;skyrim;74969;Repairing the Phial;"Speak to Quintus Navale 
Retrieve the Unmelting Snow 
Find some Mammoth Tusk Powder 
Take a Forsworn Heart 
Return to Quintus Navale"
190;skyrim;80602;Reparations;"Speak to Vex 
Bring 1000 gold to Vex"
191;skyrim;72176;Repentance (Skyrim);"Help Illia reach the top of Darklight Tower 
Defeat Illia's mother at the top of Darklight Tower"
192;skyrim;84110;Rescue from Fort Kastav;"Meet the men near Fort Kastav 
Sneak into the fort 
Free the prisoners 
Take over the fort 
Report back to Hadvar"
193;skyrim;75413;Rescue from Fort Neugrad;"Meet the men near Fort Neugrad 
Sneak into the fort 
Free the prisoners 
Take over the fort 
Report back to Ralof"
194;skyrim;63524;Rescue Mission;"Rescue the victim from the lair 
Talk to the victim 
Escort the victim back to their home 
Take your leave of the victim 
Return to the quest giver"
195;skyrim;160087;Restocking Soul Gems;"Collect the requested soul gems 
Give Sergius Turrianus the soul gems"
196;skyrim;70034;Restoration Ritual Spell;Gain the Augur's approval
197;skyrim;59577;Retrieval (Skyrim);"Retrieve the fragment of Wuuthrad 
Return to Aela"
198;skyrim;233359;Return to Grace;"Speak to Greta about going to the Temple of the Divines 
Retrieve the Amulet of Talos off of Roggvir 
Return the Amulet of Talos to Greta"
199;skyrim;61504;Reunification of Skyrim;"Report to General Tullius 
Regain The Pale (unless won during ""Season Unending"") 
Regain The Rift (unless won during ""Season Unending"") 
Regain Falkreath Hold (if lost during ""Season Unending"") 
Regain The Reach (if lost during ""Season Unending"") 
Regain Winterhold (unless won during ""Season Unending"") 
Regain Eastmarch"
200;skyrim;44501;Revealing the Unseen (Skyrim);"Speak with Mirabelle Ervine 
Find the ruins of Mzulft 
Search for Synod researchers 
Reach the Oculory 
Find the Focusing Crystal 
Return the Crystal to Paratus 
Follow Paratus 
Place the Crystal into the Oculory 
Focus the Oculory 
Talk to Paratus 
Report to Savos Aren 
Reach Ancano"
201;skyrim;903803;Ringmaker;"Find two flawless sapphires for Madesi 
Find a mammoth tusk for Madesi 
Find gold ore for Madesi 
Speak to Madesi"
202;skyrim;65156;Rise in the East;"Steal Suvaris Atheron's logbook 
Give the logbook to Orthus 
Talk to Stig Salt-Plank 
Report back to Orthus 
Depart for Japhet's Folly 
Talk to Adelaisa Vendicci 
Kill Haldyn 
Report back to Adelaisa 
Speak to Adelaisa to return 
Speak to Orthus"
203;skyrim;92026;Rising At Dawn;"Speak to Falion 
Bring a filled Black Soul Gem to Morthal 
Meet Falion at dawn 
Speak to Falion 
Wait for Falion to complete the ritual"
204;skyrim;74426;Rjorn's Drum (Quest);"Find Rjorn's Drum 
Give Rjorn's Drum to Giraud"
205;skyrim;155241;Rogatus's Letter (Quest);Deliver Rogatus's letter to Leontius
206;skyrim;298422;Rogue Wizard;"Deal with the rogue wizard 
Return to Tolfdir"
207;skyrim;995494;Runil's Dark Past;"Talk to Runil 
Tell Runil's secret or keep his secret safe"
208;skyrim;106640;Salt For Arcadia;Give the Frost Salts to Arcadia
209;skyrim;106600;Salty Sea-Dogs;"Find the Fine-Cut Void Salts for Wayfinder 
Bring the Fine-Cut Void Salts to Wayfinder"
210;skyrim;62747;Sanctuary (Quest);"Speak with Nazir 
Receive the first set of contracts from Nazir"
211;skyrim;885812;Sanuarach Mine (Quest);"Convince Atar to leave Sanuarach Mine or Convince Ainethach to sell 
Tell Ainethach that Atar has been dealt with (if siding with Ainethach) 
Tell Atar that Ainethach has been dealt with (if siding with Atar)"
212;skyrim;54994;Scoundrel's Folly;"Speak to Mercer Frey 
Speak to Brynjolf (optional) 
Speak to Gulum-Ei 
Shadow Gulum-Ei 
Confront Gulum-Ei 
Return to Mercer Frey"
213;skyrim;544192;Sealing the Deal;"Get three flawless amethysts for Talen-Jei 
Return to Talen-Jei"
214;skyrim;233383;Search and Seizure;"Find evidence of Ogmund's Talos worship 
Bring Ogmund's Amulet of Talos to Ondolemar"
215;skyrim;54450;Season Unending;"Talk to Arngeir 
Talk to General Tullius 
Talk to Ulfric Stormcloak 
Talk to Arngeir 
Take your seat 
Negotiate a truce"
216;skyrim;101831;Shahvee's Amulet;"Find the Amulet of Zenithar for Shahvee 
Return the Amulet of Zenithar to Shahvee"
217;skyrim;54357;Shalidor's Insights (Quest);"Find Shalidor's writings 
Talk to Urag"
218;skyrim;92474;Side Quests (Skyrim);"A Love Beyond Death 
Ancestral Worship 
Argonian Dock Workers 
Blood on the Ice 
Find Roggi Knot-Beard's Ancestral Shield 
Find the Thalmor Assassin 
Harsh Master 
Queen Freydis's Sword 
Repairing the Phial 
Rise in the East 
Shahvee's Amulet 
The Forgemaster's Fingers 
The White Phial 
That Was Always There – Plant Viola's Gold Ring in Viola Giordano's House."
219;skyrim;60916;Siege on the Dragon Cult;"Find Skorm Snow-Strider's journal (optional) 
Obtain Rahgot's mask 
Show Skorm Snow-Strider's journal to Valmir (optional) 
Find the key to the well in the Catacombs (optional: if Valmir was not killed) 
Return to Valmir (if alive) 
Kill the imposter Valmir (if alive)"
220;skyrim;54352;Silenced Tongues;"Locate the Ceremonial Weapons 
Open the Elder's Cairn 
Defeat Kvenel"
221;skyrim;60599;Silver Lining;"Speak to Endon the Silversmith 
Enter Pinewatch 
Recover Endon's silver mold 
Return to Endon"
222;skyrim;395061;Skilled Apprenticeship;Bring the Last Scabbard of Akrash to Ghorza
223;skyrim;903802;Smooth Jazbay;"Find 20 Jazbay 
Bring the Jazbay to Avrusa Sarethi"
224;skyrim;62604;Soljund's Sinkhole (Quest);"Clear Soljund's Sinkhole of draugr 
Tell Perth that the draugr are dead"
225;skyrim;117462;Some Light Theft;"Steal the item for the client 
Bring the item to the client"
226;skyrim;54453;Sovngarde (Quest);"Find out how to defeat Alduin 
Gain admittance to the Hall of Valor 
Talk to the heroes of Sovngarde"
227;skyrim;116870;Speak to Lod;"Speak to Lod 
Find the Dog outside Falkreath"
228;skyrim;56831;Speaking With Silence;"Meet Mercer Frey outside Snow Veil Sanctum 
Enter Snow Veil Sanctum 
Find Karliah 
Speak to Karliah"
229;skyrim;850828;Special Delivery (Bolli);Deliver the purchase agreement to Kleppr in Markarth
230;skyrim;92948;Special Delivery (Sylgja);"Deliver the satchel to Verner in Darkwater Crossing 
Return to Sylgja"
231;skyrim;1000497;Spread the Love;"Distribute The Warmth of Mara within Riften to 20 people 
Return to Dinya"
232;skyrim;158964;Stabilized;"Speak to Sapphire about Shadr's debt 
Return to Shadr"
233;skyrim;65227;Stealing Plans;"Steal the plans 
Return to Aela"
234;skyrim;62440;Stoking the Flames;"Speak to Balimund 
Acquire ten fire salts for Balimund 
Give the Fire Salts to Balimund"
235;skyrim;62648;Striking the Heart;"Assassinate the Silver hand leader 
Retun to Aela"
236;skyrim;59117;Summerset Shadows (Quest);"Speak to Torsten Cruel-Sea 
Speak to Niranye 
Discover leverage to sway Niranye (optional) 
Travel to Uttering Hills Cave 
Recover Fjolti's Silver Locket 
Destroy the Summerset Shadows' Banner (optional) 
Return to Torsten Cruel-Sea"
237;skyrim;93987;Supply and Demand;"Report skooma source to Jarl of Riften 
Find the skooma dealers in Cragslane Cavern 
Disrupt the skooma operation 
Report to the Jarl of Riften"
238;skyrim;56748;Take Up Arms;"Speak with the leader of the Companions 
Speak with Kodlak Whitemane 
Train with Vilkas 
Give Vilkas' sword to Eorlund 
Bring Aela her shield 
Follow Farkas to your quarters"
239;skyrim;55862;Taking Care of Business;"Locate Brynjolf at The Ragged Flagon 
Collect Keerava's debt 
Collect Bersi Honey-Hand's debt 
Collect Haelga's debt 
Return to Brynjolf"
240;skyrim;145949;Telrav's Request;"Escort Telrav to his camp 
Kill Telrav"
241;skyrim;71658;Tending the Flames;"Find King Olaf's Verse 
Return to the Bards College 
Help Viarmo reconstruct Olaf's verse 
Meet Viarmo at the Blue Palace 
Watch Viarmo perform Olaf's Verse 
Speak to Jorn 
Attend The Burning of King Olaf"
242;skyrim;869045;Thane of Eastmarch;"Befriend the Jarl of Eastmarch 
Assist five citizens of Eastmarch 
Purchase Hjerim 
Return to the Jarl"
243;skyrim;869048;Thane of Falkreath;"Befriend the Jarl of Falkreath 
Assist three citizens of Falkreath 
Return to the Jarl"
244;skyrim;869053;Thane of Haafingar;"Befriend the Jarl of Haafingar 
Assist five citizens of Haafingar 
Purchase Proudspire Manor 
Return to the Jarl"
245;skyrim;869055;Thane of Hjaalmarch;"Befriend the Jarl of Hjaalmarch 
Assist three citizens of Hjaalmarch 
Return to the Jarl"
246;skyrim;869081;Thane of the Pale;"Befriend the Jarl of The Pale 
Assist three citizens of The Pale 
Return to the Jarl"
247;skyrim;869071;Thane of the Reach;"Befriend the Jarl of The Reach 
Assist five citizens of The Reach 
purchase Vlindrel Hall 
Return to the Jarl"
248;skyrim;869126;Thane of Whiterun;"Assist five citizens of Whiterun 
Purchase Breezehome 
Return to the Jarl"
249;skyrim;869087;Thane of Winterhold;"Befriend the Jarl of Winterhold 
Assist three citizens of Winterhold 
Return to the Jarl"
250;skyrim;863832;That Was Always There;"Plant Viola's Gold Ring in Viola Giordano's House 
Tell Revyn Viola's Gold Ring has been planted"
251;skyrim;109544;The Affairs of Hagravens;Kill the Hagraven Petra
252;skyrim;92607;The Battle for Fort Amol;"Join the men attacking Fort Amol 
Take over Fort Amol by defeating the enemy"
253;skyrim;71084;The Battle for Fort Dunstad;"Join the men attacking Fort Dunstad 
Take over Fort Dunstad by defending the enemy"
254;skyrim;71214;The Battle for Fort Greenwall;"Join the men attacking Fort Greenwall 
Take over Fort Greenwall by defeating the enemy"
255;skyrim;82122;The Battle for Fort Hraggstad;"Join the men attacking Fort Hraggstad 
Take over Fort Hraggstad by defeating the enemy"
256;skyrim;501001;The Battle for Fort Kastav;"Join the men attacking Fort Kastav 
Take over Fort Kastav by defeating the enemy"
257;skyrim;1038665;The Battle for Fort Neugrad;"Join the men attacking Fort Neugrad 
Take over Fort Neugrad by defeating the enemy"
258;skyrim;89693;The Battle for Fort Snowhawk;"Join the Men attacking Fort Snowhawk 
Take over Fort Snowhawk by defeating the enemy"
259;skyrim;89690;The Battle for Fort Sungard;"Join the men attacking Fort Sungard 
Take over Fort Sungard by defeating the enemy"
260;skyrim;68130;The Bedlam Job;"Steal 500 gold in goods from the specified city 
Return to Delvin"
261;skyrim;52009;The Black Star (Quest);"Visit the Shrine of Azura 
Find the elven mage for Aranea's vision 
Speak with Nelacar 
Find Azura's Star 
Bring the Star to Aranea or Nelacar 
Speak to Azura (If brought to Aranea) 
Tell Azura you're ready to enter the Star (If brought to Aranea) 
Tell Nelacar you're ready to enter the Star (If brought to Nelacar) 
Destroy Malyn Varen's soul"
262;skyrim;58532;The Blessings of Nature;"Talk to Danica about the Gildergreen being destroyed 
Retrieve Nettlebane 
Bring Nettlebane to Danica 
Retrieve Eldergleam sap 
Follow Maurice (if taking sapling instead of sap) 
Take sapling (if taking sapling instead of sap) 
Return to Danica"
263;skyrim;76437;The Bonds of Matrimony;"Speak to Maramal about arranging the wedding 
Attend wedding ceremony"
264;skyrim;63671;The Book of Love;"Talk to Fastred 
Talk to Fastred's parents 
Talk to Bassianus or Klimmek 
Return to Dinya Balu 
Talk to Calcelmo 
Get advice from Yngvar 
Deliver the poem 
Deliver Faleen's letter 
Return to Dinya Balu 
Put on the Amulet of Mara 
Talk to the long-dead lover 
Find Fenrig 
Bring Fenrig to Ruki 
Return to Dinya Balu"
265;skyrim;54306;The Break of Dawn;"Find Meridia's beacon 
Bring Meridia's beacon to Mount Kilkreath 
Replace the beacon 
Guide Meridia's Light through the temple 
Destroy Malkoran 
Retrieve Dawnbreaker"
266;skyrim;71871;The Burglary Job;"Retrieve the item from the wealthy home in the city 
Return the item to Vex"
267;skyrim;64388;The Cure for Madness;"Talk to Astrid 
Search Cicero's room 
Read Cicero's diary 
Talk to Astrid 
Behold Shadowmere 
Locate Arnbjorn 
Talk to Arnbjorn 
Enter the Dawnstar Sanctuary 
Kill Cicero 
Kill Cicero, or leave the Sanctuary 
Report back to Astrid"
268;skyrim;63410;The Cursed Tribe;"Find out what's happening in Largashbur 
Bring Troll Fat and a Daedra Heart to Atub 
Observe Atub's ritual 
Speak to Yamarz 
Meet Yamarz at Fallowstone Cave 
Protect Yamarz 
Defeat the Giant 
Take Shagrol's Warhammer back to Largashbur 
Place Shagrol's Warhammer on the Shrine in Largashbur"
269;skyrim;266530;The Dainty Sload;"Speak to Erikur. 
Speak to Sabine Nytte at the East Empire Company docks. 
Acquire Balmora Blue. 
Plant the Balmora Blue on the Dainty Sload. 
Speak to Erikur."
270;skyrim;51382;The Dark Brotherhood Forever;"Approach the Night Mother 
Speak with the contact 
Kill the target"
271;skyrim;44502;The Eye of Magnus;"Use the Staff of Magnus to enter the College of Winterhold 
Reach the Hall of the Elements 
Defeat Ancano 
Talk to Tolfdir 
Speak with Quaranir"
272;skyrim;44497;The Fallen;"Learn shout to call Odahviing 
Prepare the trap 
Call Odahviing to Dragonsreach 
Defeat and trap Odahviing 
Interrogate Odahviing"
273;skyrim;65850;The Fishing Job;"Retrieve the item from the target in a city 
Return to Delvin"
274;skyrim;65217;The Forgemaster's Fingers;"Find the Forgemaster's Fingers 
Bring the Forgemaster's Fingers to the Orc chief"
275;skyrim;54584;The Forsworn Conspiracy;"Go to the Shrine of Talos 
Find evidence about Margret 
Find evidence about Weylin 
Obtain the key to Margret's room (optional) 
Talk to Margret (optional, if alive) 
Read Margret's Journal 
Find evidence about Thonar 
Obtain the key to Weylin's room (optional) 
Read Weylin's Note 
Find out who ""N"" is 
Find evidence about Nepos 
Read Thonar's Journal 
Return to Eltrys 
Read Nepos' Journal 
Return to Eltrys"
276;skyrim;101720;The Ghost of Old Hroldan;Bring Hjalti's Sword to the Ghost of Old Hroldan
277;skyrim;11439;The Golden Claw (Skyrim);"Retrieve the Golden Claw 
Cut Arvel down 
Retrieve the Golden Claw 
Find the secret of Bleak Falls Barrow 
Bring the claw to Lucan"
278;skyrim;154036;The Great Skyrim Treasure Hunt;Find the treasure shown on the map
279;skyrim;62655;The Heart of Dibella;"Speak to Degaine 
Steal the statue in the Temple of Dibella 
Bring the statue to Degaine 
Find the future Sybil of Dibella 
Rescue Fjotra from the Forsworn 
Bring Fjorta to the temple 
Pray at Dibella's Altar"
280;skyrim;68135;The Heist Job;"Retrieve the item from the business in the city 
Return the item to Vex"
281;skyrim;50699;The Horn of Jurgen Windcaller;"Retrieve the Horn of Jurgen Windcaller 
Meet with whomever took the horn 
Return the horn to Arngeir 
Learn the Word of Power from Wulfgar 
Receive the Greybeards' greeting"
282;skyrim;52021;The House of Horrors;"Search the abandoned house 
Find your reward 
Find the priest of Boethia 
Free Logrolf 
Go to the abandoned house 
Beat Logrolf into submission 
Kill Logrolf 
Speak to Molag Bal"
283;skyrim;57331;The Jagged Crown (Quest);"Talk to Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") 
Meet Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") outside of Korvanjund 
Retrieve the Jagged Crown 
Follow Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") 
Find a way past the ambush 
Follow Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") 
Open the Hall of Stories door 
Follow Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") 
Find a way to open the gate 
Defeat the Draugr 
Defeat the enemy soldiers 
Deliver the crown to General Tullius (If the Dragonborn joined the Stormcloaks: ""Ulfric Stormcloak"") 
Get new orders"
284;skyrim;56783;The Litany of Larceny;"Return the Queen bee Statue to Delvin 
Return the Honningbrew Decanter to Delvin 
Return the East Empire Shipping Map to Delvin 
Return the Ship Model to Delvin 
Return the Dwemer Puzzle Cube to Delvin 
Return the Bust of the Gray Fox to Delvin 
Return the Eye of the Falmer to Delvin"
285;skyrim;68387;The Lost Expedition;"Recover Stromm's Diary 
Recover Erj's Notes 
Recover Krag's Journal 
Recover Staubin's Diary 
Re-activate Nchuand-Zel's automated defences 
Find someone who knows about the expedition"
286;skyrim;64443;The Lover's Requital;"Discover Svidi's whereabouts 
Tell Sibbi Black-Briar about Lynly or lie to Sibbi Black-Briar about Lynly"
287;skyrim;61578;The Man Who Cried Wolf;"Speak to Falk Firebeard in Solitude 
Clear out Wolfskull Cave, killing the necromancers conducting the binding ritual 
Return to Falk to get the reward"
288;skyrim;54977;The Mind of Madness;"Gain access to the Pelagius Wing of the Blue Palace 
Use the key to gain access to the Pelagius Wing 
Search for Dervenin's master in the Pelagius Wing 
Use the Wabbajack to escape from Pelagius' mind"
289;skyrim;139286;The Missing Apprentices;Talk to Phinis Gestor and learn of the missing apprentices
290;skyrim;65823;The Numbers Job;"Make changes in the ledger at the business in the city 
Return to Delvin"
291;skyrim;54313;The Only Cure;"Find Kesh at the Peryite shrine 
Obtain some vampire dust 
Obtain a deathbell flower 
Obtain a silver ingot 
Obtain a flawless ruby 
Deliver the ingredients 
Inhale the fumes 
Kill Orchendor 
Report Orchendor's death to Peryite"
292;skyrim;72005;The Pale Lady (Quest);"Learn more about the theft in Frostmere Crypt (optional) 
Find the stolen sword 
Follow Kyr and Ra'jirr into the tunnels 
Banish the Pale Lady (return the sword or kill the Pale Lady)"
293;skyrim;62921;The Pursuit;"Meet Karliah at the Ragged Flagon 
Follow Karliah 
Speak to Brynjolf 
Infiltrate Mercer's House, Riftweald Manor 
Speak to Vex about Vald (optional) 
Shoot the mechanism to lower the ramp (optional) 
Discover evidence of Mercer's location 
Speak to Brynjolf"
294;skyrim;73851;The Raid;"Identify Riften's Skooma dealer 
Report Sarthis Idren to the Jarl of Riften 
Enter Riften Warehouse 
Eliminate Sarthis Idren 
Recover Skooma source information"
295;skyrim;115825;The Savior of Selveni Nethri;Help Selveni Nethri escape the cave
296;skyrim;71385;The Shill Job;"Plant the evidence in the wealthy home in the city 
Return to Vex"
297;skyrim;63903;The Silence Has Been Broken;"Speak with Astrid 
Speak with Amaund Motierre 
Talk to Rexus 
Deliver the letter and amulet to Astrid 
Show the amulet to Delvin Mallory 
Report back to Astrid"
298;skyrim;51449;The Silver Hand;"Talk to Skjor 
Meet with Skjor at night 
Enter The Underforge 
Participate in the blood ritual 
Talk to Aela 
Kill the werewolf hunters 
Talk to Aela"
299;skyrim;119304;The Spiced Wine;"Convince Vittoria Vici to release the Spiced Wine shipment 
Tell Evette San that Vittoria Vici agreed to release the shipment"
300;skyrim;57929;The Staff of Magnus (Skyrim);"Enter Labyrinthian 
Find the Staff of Magnus 
Defeat the Dragon Priest 
Retrieve the Staff of Magnus 
Return to Tolfdir 
Exit Labyrinthian 
Escape the Thalmor 
Find a way out of Labyrinthian 
Return to Tolfdir"
301;skyrim;901457;The Steward's Potion;Deliver the Stallion's Potion to Reburrus Quintilius
302;skyrim;62995;The Straw that Broke;"Ask Wilhelm about Reyda 
Locate Reyda's remains 
Bring Reyda's Necklace to Narfi"
303;skyrim;66915;The Sweep Job;"Clear the wealthy home in the city of valuables. 
Return the valuables to Vex."
304;skyrim;70416;The Taste of Death;"Speak to Verulus about the Hall of Dead 
Investigate the Hall of the Dead 
Tell Verulus the Hall of the Dead is safe 
Clear the Draugr from Reachcliff Cave 
Speak to Eola 
Convince Verulus to follow you 
Lead Verulus to the Shrine of Namira 
Kill Verulus 
Feast on Verulus"
305;skyrim;54447;The Throat of the World;"Talk to Arngeir 
Learn the ""Clear Skies"" Shout 
Use the ""Clear Skies"" Shout 
Talk to Paarthurnax 
Learn the Word of Power from Paarthurnax 
Talk to Paarthurnax"
306;skyrim;49245;The Way of the Voice;"Speak to the Greybeards 
Demonstrate your ""Unrelenting Force"" Shout 
Speak to Arngeir 
Learn the Word of Power from Einarth 
Demonstrate your ""Unrelenting Force"" Shout 
Learn the Word of Power from Borri 
Demonstrate your ""Whirlwind Sprint"" Shout 
Speak to Arngeir for further training"
307;skyrim;64474;The Whispering Door;"Ask about Balgruuf's strange children 
Find out what's wrong with Nelkir 
Listen to the whispering door 
Speak to Nelkir 
Obtain the key to the whispering door 
Open the whispering door 
Retrieve the Ebony Blade"
308;skyrim;66369;The White Phial (Quest);"Retrieve the White Phial 
Bring the Phial to Nurelion 
Speak to Quintus Navale"
309;skyrim;70411;The Wolf Queen Awakened;"Speak to Styrr 
Defeat Potema 
Retrieve Potema's remains 
Give Potema's remains to Styrr 
Return to Falk Firebeard"
310;skyrim;54452;The World-Eater's Eyrie;"Set Odahviing free 
Talk to Odahviing 
Reach Alduin's portal to Sovngarde 
Enter Sovngarde"
311;skyrim;64655;To Kill an Empire;"Report to Astrid 
Report to Commander Maro 
Report to Gianna 
Report to Gianna while wearing a chef's hat 
Make the Potage le Magnifique 
Follow Gianna to the dining room 
Kill the Emperor 
Escape the Tower! 
Return to the Sanctuary"
312;skyrim;65190;Tolfdir the Absent-Minded;"Find Tolfdir's Alembic 
Return Tolfdir's Alembic to him"
313;skyrim;62325;Totems of Hircine;"Retrieve the Totem of Hircine 
Take the Totem to the Underforge"
314;skyrim;156996;Toying With The Dead;"Enter Yngvild 
Retrieve Arondil's Journals 
Return to Vekel"
315;skyrim;79356;Trinity Restored;"Listen to Karliah 
Meet Karliah at the standing stone 
Follow Karliah 
Activate the Armor Stone 
Equip the Nightingale Armor 
Stand on the vacant Floor Glyph 
Speak to Karliah 
Speak to Brynjolf"
316;skyrim;246479;Trius' Trinket;"Search the wreck for a jewelry box 
Return the box to Trius for the promised reward"
317;skyrim;62738;Trouble in Skyrim;"Kill the leader of the location 
Return to Farkas"
318;skyrim;274320;Truth Ore Consequences;"Obtain ore sample from Filnjar 
Return ore sample to Hafjorg"
319;skyrim;44492;Unbound;"Make your way to the keep 
Enter the Keep with Hadvar or Ralof 
Escape Helgen 
Find some equipment (Hadvar) 
Loot Gunjar's body (Ralof) 
Search the barrel for potions (optional) 
Attempt to pick the lock of the cage (optional)"
320;skyrim;59902;Under New Management;"Speak to Brynjolf about becoming the Guild Master 
Proceed to the center of the Cistern 
Become Guild Master for the Thieves Guild 
Speak to Brynjolf about being Guild Master 
Retrieve your Guild Leader Armor from Tonilia"
321;skyrim;56984;Under Saarthal;"Meet Tolfdir outside Saarthal 
Follow Tolfdir 
Find Arniel Gane 
Use the Saarthal Amulet to escape the trap 
Follow Tolfdir 
Tell Tolfdir about the vision 
Follow Tolfdir 
Find danger within Saarthal 
Talk to the Arch-Mage"
322;skyrim;1056628;Under the Table;"Deliver Mead to Wilhelm (option one) 
Show Mead to Indaryn (option two)"
323;skyrim;61478;Unfathomable Depths;"Speak to From-Deepest-Fathoms 
Take the lexicon to Avanchnzel"
324;skyrim;72230;Visit the Museum in Dawnstar;Visit the Museum in Dawnstar
325;skyrim;54901;Waking Nightmare;"Follow Erandur to Nightcaller Temple 
Speak to Erandur 
Follow Erandur 
Follow Erandur to the Library 
Speak to Erandur 
Locate The Dreamstride 
Speak to Erandur 
Follow Erandur to the laboratory 
Speak to Erandur 
Locate Vaermina's Torpor 
Speak to Erandur 
Drink Vaermina's Torpor 
Release the Miasma 
Disable the Magical Barrier 
Speak to Erandur 
Follow Erandur to the Skull of Corruption 
Defeat Veren and Thorek 
Speak to Erandur 
Wait for Erandur to dispel the barrier 
Murder Erandur or allow Erandur to complete his ritual 
Take the Skull of Corruption (optional)"
326;skyrim;64059;Where You Hang Your Enemy's Head;Employ Delvin Mallory's services
327;skyrim;63539;Whispers in the Dark;"Hide in the Night Mother's coffin 
Eavesdrop on Cicero 
Talk to Cicero 
Talk to Astrid 
Receive a side contract from Nazir"
328;skyrim;57770;With Friends Like These...;"Kill one of the captives 
Speak with Astrid 
Enter the Dark Brotherhood Sanctuary 
Speak with Astrid"
329;skyrim;160546;Ysolda's Shipment;Speak to Ysolda about Sleeping Tree Sap
0;wicher_contracts;24948;Contract: Deadly Delights;"Talk to the guard. 
Get information from the medic. 
Examine the crime scene using your Witcher Senses. 
Follow the tracks using your Witcher Senses. 
Talk to the brothel owner. 
If Axii isn't used: 
Find a way into the house. 
Confront the succubus. 
If Geralt kills the succubus: 
Collect your reward from the guard."
1;wicher_contracts;55540;Contract: Doors Slamming Shut;"Talk to Kurt Dysart. 
Travel to the haunted mansion. 
Investigate the haunted mansion using your Witcher Senses. 
Investigate the basement using your Witcher Senses. 
Read the diary from the ruined house. 
Find the earth elemental. 
Deactivate the magic barrier. 
Kill the earth elemental. 
Take a trophy from the earth elemental. 
Collect your reward from Kurt Dysart."
2;wicher_contracts;59433;Contract: Dragon;"Talk to the village elder of Fyesdal. 
Talk to the victims' mother. 
Examine the victims' bodies using your Witcher Senses. 
Use your Witcher Senses to follow the monster's tracks to the site of the attack. 
Follow the monster's tracks using your Witcher Senses. 
Talk to the village elder in Fyesdal about bait. 
Guide the sheep to the forktail's nest. 
Kill the forktail. 
Take a trophy from the forktail. 
Return to the elder in Fyresdal for your reward."
3;wicher_contracts;53305;Contract: Here Comes the Groom;"If quest is started from the notice: 
Explore the caves on Spikeroog using your Witcher Senses. 
Find Melusine in the caves. 
Kill the monster. 
Take a trophy from the monster. 
If quest is started at the cave: 
Collect your reward from Kevan. 
If Geralt agrees to tell Britt:"
