source;id;title;objectives;objectives_entities
skyrim;903803;Ringmaker;"Find two flawless sapphires for Madesi 
Find a mammoth tusk for Madesi 
Find gold ore for Madesi 
Speak to Madesi";xmiscx two flawless sapphires for xorgx xmiscx a mammoth tusk for xorgx xmiscx gold ore for xorgx Speak to xorgx
skyrim;65156;Rise in the East;"Steal Suvaris Atheron's logbook 
Give the logbook to Orthus 
Talk to Stig Salt-Plank 
Report back to Orthus 
Depart for Japhet's Folly 
Talk to Adelaisa Vendicci 
Kill Haldyn 
Report back to Adelaisa 
Speak to Adelaisa to return 
Speak to Orthus";Steal Suvaris Atheron 's logbook Give the logbook to xorgx Talk to Stig Salt-Plank Report back to xorgx Depart for xperx 's Folly Talk to xorgx Vendicci xorgx Haldyn Report back to xorgx Speak to xorgx to return Speak to xorgx
skyrim;92026;Rising At Dawn;"Speak to Falion 
Bring a filled Black Soul Gem to Morthal 
Meet Falion at dawn 
Speak to Falion 
Wait for Falion to complete the ritual";Speak to xperx Bring a filled xmiscx Soul Gem to xlocx Meet xperx at dawn Speak to xperx Wait for xperx to complete the ritual
skyrim;74426;Rjorn's Drum (Quest);"Find Rjorn's Drum 
Give Rjorn's Drum to Giraud";xmiscx xperx 's Drum Give xperx 's Drum to xperx
skyrim;155241;Rogatus's Letter (Quest);Deliver Rogatus's letter to Leontius;Deliver xperx 's letter to xperx
skyrim;298422;Rogue Wizard;"Deal with the rogue wizard 
Return to Tolfdir";Deal with the rogue wizard Return to xorgx
skyrim;995494;Runil's Dark Past;"Talk to Runil 
Tell Runil's secret or keep his secret safe";Talk to xperx Tell xperx 's secret or keep his secret safe
skyrim;106640;Salt For Arcadia;Give the Frost Salts to Arcadia;Give the xmiscx Salts to Arcadia
skyrim;106600;Salty Sea-Dogs;"Find the Fine-Cut Void Salts for Wayfinder 
Bring the Fine-Cut Void Salts to Wayfinder";xmiscx the Fine-Cut Void Salts for xlocx Bring the Fine-Cut Void Salts to xlocx
skyrim;62747;Sanctuary (Quest);"Speak with Nazir 
Receive the first set of contracts from Nazir";Speak with xperx Receive the first set xmiscx contracts from xperx
skyrim;885812;Sanuarach Mine (Quest);"Convince Atar to leave Sanuarach Mine or Convince Ainethach to sell 
Tell Ainethach that Atar has been dealt with (if siding with Ainethach) 
Tell Atar that Ainethach has been dealt with (if siding with Atar)";Convince xorgx to leave Sanuarach Mine or Convince xorgx to sell Tell xorgx that xorgx has been dealt with ( if siding with xorgx ) Tell xorgx that xorgx has been dealt with ( if siding with xorgx )
skyrim;54994;Scoundrel's Folly;"Speak to Mercer Frey 
Speak to Brynjolf (optional) 
Speak to Gulum-Ei 
Shadow Gulum-Ei 
Confront Gulum-Ei 
Return to Mercer Frey";Speak to xperx xlocx Speak to xperx ( optional ) Speak to Gulum-Ei Shadow Gulum-Ei Confront Gulum-Ei Return to xperx xlocx
skyrim;544192;Sealing the Deal;"Get three flawless amethysts for Talen-Jei 
Return to Talen-Jei";Get three flawless amethysts for Talen-Jei Return to Talen-Jei
skyrim;233383;Search and Seizure;"Find evidence of Ogmund's Talos worship 
Bring Ogmund's Amulet of Talos to Ondolemar";xmiscx evidence xmiscx xperx 's xmiscx worship Bring xperx 's Amulet xmiscx xmiscx to xlocx
skyrim;54450;Season Unending;"Talk to Arngeir 
Talk to General Tullius 
Talk to Ulfric Stormcloak 
Talk to Arngeir 
Take your seat 
Negotiate a truce";Talk to xorgx Talk to General xperx Talk to xperx xorgx Talk to xorgx Take your seat Negotiate a truce
skyrim;101831;Shahvee's Amulet;"Find the Amulet of Zenithar for Shahvee 
Return the Amulet of Zenithar to Shahvee";xmiscx the Amulet xmiscx Zenithar for Shahvee Return the Amulet xmiscx Zenithar to Shahvee
skyrim;54357;Shalidor's Insights (Quest);"Find Shalidor's writings 
Talk to Urag";xmiscx xperx 's writings Talk to xperx
skyrim;92474;Side Quests (Skyrim);"A Love Beyond Death 
Ancestral Worship 
Argonian Dock Workers 
Blood on the Ice 
Find Roggi Knot-Beard's Ancestral Shield 
Find the Thalmor Assassin 
Harsh Master 
Queen Freydis's Sword 
Repairing the Phial 
Rise in the East 
Shahvee's Amulet 
The Forgemaster's Fingers 
The White Phial 
That Was Always There – Plant Viola's Gold Ring in Viola Giordano's House.";A Love Beyond Death Ancestral Worship Argonian Dock Workers Blood on the xmiscx xmiscx Roggi Knot-Beard 's Ancestral xorgx xmiscx the xorgx Assassin Harsh Master Queen xperx 's xmiscx Repairing the Phial Rise in the xlocx Shahvee 's Amulet xlocx Forgemaster 's Fingers xlocx xmiscx Phial That Was Always There – Plant xperx 's Gold xmiscx in xperx Giordano 's xlocx .
skyrim;60916;Siege on the Dragon Cult;"Find Skorm Snow-Strider's journal (optional) 
Obtain Rahgot's mask 
Show Skorm Snow-Strider's journal to Valmir (optional) 
Find the key to the well in the Catacombs (optional: if Valmir was not killed) 
Return to Valmir (if alive) 
Kill the imposter Valmir (if alive)";xmiscx Skorm Snow-Strider 's journal ( optional ) Obtain xperx 's mask Show Skorm Snow-Strider 's journal to xperx ( optional ) xmiscx the key to the well in the xlocx ( optional : if xperx was not killed ) Return to xperx ( if alive ) xorgx the imposter xperx ( if alive )
skyrim;54352;Silenced Tongues;"Locate the Ceremonial Weapons 
Open the Elder's Cairn 
Defeat Kvenel";Locate the Ceremonial Weapons Open the xmiscx 's Cairn Defeat Kvenel
skyrim;60599;Silver Lining;"Speak to Endon the Silversmith 
Enter Pinewatch 
Recover Endon's silver mold 
Return to Endon";Speak to xorgx the Silversmith Enter xorgx Recover xorgx 's silver mold Return to xorgx
skyrim;395061;Skilled Apprenticeship;Bring the Last Scabbard of Akrash to Ghorza;Bring the Last Scabbard xmiscx Akrash to xlocx
skyrim;903802;Smooth Jazbay;"Find 20 Jazbay 
Bring the Jazbay to Avrusa Sarethi";xmiscx 20 xorgx Bring the xorgx to Avrusa Sarethi
skyrim;62604;Soljund's Sinkhole (Quest);"Clear Soljund's Sinkhole of draugr 
Tell Perth that the draugr are dead";Clear Soljund 's Sinkhole xmiscx draugr Tell xorgx that the draugr are dead
skyrim;117462;Some Light Theft;"Steal the item for the client 
Bring the item to the client";Steal the item for the client Bring the item to the client
skyrim;54453;Sovngarde (Quest);"Find out how to defeat Alduin 
Gain admittance to the Hall of Valor 
Talk to the heroes of Sovngarde";xmiscx out how to defeat xorgx Gain admittance to the xlocx xmiscx xorgx Talk to the heroes xmiscx xorgx
skyrim;116870;Speak to Lod;"Speak to Lod 
Find the Dog outside Falkreath";Speak to Lod xmiscx the xmiscx outside xlocx
skyrim;56831;Speaking With Silence;"Meet Mercer Frey outside Snow Veil Sanctum 
Enter Snow Veil Sanctum 
Find Karliah 
Speak to Karliah";Meet xperx xlocx outside xmiscx Veil xlocx Enter xmiscx Veil xlocx xmiscx xperx Speak to xperx
skyrim;850828;Special Delivery (Bolli);Deliver the purchase agreement to Kleppr in Markarth;Deliver the purchase agreement to xorgx in xlocx
skyrim;92948;Special Delivery (Sylgja);"Deliver the satchel to Verner in Darkwater Crossing 
Return to Sylgja";Deliver the satchel to xperx in Darkwater Crossing Return to Sylgja
skyrim;1000497;Spread the Love;"Distribute The Warmth of Mara within Riften to 20 people 
Return to Dinya";Distribute xlocx Warmth xmiscx xperx within xorgx to 20 people Return to xlocx
skyrim;158964;Stabilized;"Speak to Sapphire about Shadr's debt 
Return to Shadr";Speak to Sapphire about Shadr 's debt Return to Shadr
skyrim;65227;Stealing Plans;"Steal the plans 
Return to Aela";Steal the plans Return to xperx
skyrim;62440;Stoking the Flames;"Speak to Balimund 
Acquire ten fire salts for Balimund 
Give the Fire Salts to Balimund";Speak to xperx Acquire ten fire salts for xperx Give the xorgx Salts to xperx
skyrim;62648;Striking the Heart;"Assassinate the Silver hand leader 
Retun to Aela";Assassinate the xorgx hand leader xperx to xperx
skyrim;59117;Summerset Shadows (Quest);"Speak to Torsten Cruel-Sea 
Speak to Niranye 
Discover leverage to sway Niranye (optional) 
Travel to Uttering Hills Cave 
Recover Fjolti's Silver Locket 
Destroy the Summerset Shadows' Banner (optional) 
Return to Torsten Cruel-Sea";Speak to Torsten Cruel-Sea Speak to Niranye Discover leverage to sway Niranye ( optional ) Travel to Uttering Hills Cave Recover xperx 's xorgx Locket Destroy the Summerset Shadows ' Banner ( optional ) Return to Torsten Cruel-Sea
skyrim;93987;Supply and Demand;"Report skooma source to Jarl of Riften 
Find the skooma dealers in Cragslane Cavern 
Disrupt the skooma operation 
Report to the Jarl of Riften";Report skooma source to xorgx xmiscx xorgx xmiscx the skooma dealers in Cragslane Cavern Disrupt the skooma operation Report to the xorgx xmiscx xorgx
skyrim;56748;Take Up Arms;"Speak with the leader of the Companions 
Speak with Kodlak Whitemane 
Train with Vilkas 
Give Vilkas' sword to Eorlund 
Bring Aela her shield 
Follow Farkas to your quarters";Speak with the leader xmiscx the Companions Speak with xperx Whitemane Train with xperx Give xperx ' sword to xperx Bring xperx her shield Follow xlocx to your quarters
skyrim;55862;Taking Care of Business;"Locate Brynjolf at The Ragged Flagon 
Collect Keerava's debt 
Collect Bersi Honey-Hand's debt 
Collect Haelga's debt 
Return to Brynjolf";Locate xperx at xlocx Ragged Flagon Collect xorgx 's debt Collect Bersi Honey-Hand 's debt Collect Haelga 's debt Return to xperx
skyrim;145949;Telrav's Request;"Escort Telrav to his camp 
Kill Telrav";Escort Telrav to his camp xorgx Telrav
skyrim;71658;Tending the Flames;"Find King Olaf's Verse 
Return to the Bards College 
Help Viarmo reconstruct Olaf's verse 
Meet Viarmo at the Blue Palace 
Watch Viarmo perform Olaf's Verse 
Speak to Jorn 
Attend The Burning of King Olaf";xmiscx xperx xperx 's Verse Return to the Bards xorgx Help Viarmo reconstruct xperx 's verse Meet Viarmo at the xlocx Palace Watch Viarmo perform xperx 's Verse Speak to xperx Attend xlocx xmiscx xmiscx xperx xperx
skyrim;869045;Thane of Eastmarch;"Befriend the Jarl of Eastmarch 
Assist five citizens of Eastmarch 
Purchase Hjerim 
Return to the Jarl";Befriend the xorgx xmiscx xlocx Assist five citizens xmiscx xlocx Purchase xlocx Return to the xorgx
skyrim;869048;Thane of Falkreath;"Befriend the Jarl of Falkreath 
Assist three citizens of Falkreath 
Return to the Jarl";Befriend the xorgx xmiscx xlocx Assist three citizens xmiscx xlocx Return to the xorgx
skyrim;869053;Thane of Haafingar;"Befriend the Jarl of Haafingar 
Assist five citizens of Haafingar 
Purchase Proudspire Manor 
Return to the Jarl";Befriend the xorgx xmiscx xlocx Assist five citizens xmiscx xlocx Purchase Proudspire Manor Return to the xorgx
skyrim;869055;Thane of Hjaalmarch;"Befriend the Jarl of Hjaalmarch 
Assist three citizens of Hjaalmarch 
Return to the Jarl";Befriend the xorgx xmiscx xlocx Assist three citizens xmiscx xlocx Return to the xorgx
skyrim;869081;Thane of the Pale;"Befriend the Jarl of The Pale 
Assist three citizens of The Pale 
Return to the Jarl";Befriend the xorgx xmiscx xlocx xorgx Assist three citizens xmiscx xlocx xorgx Return to the xorgx
skyrim;869071;Thane of the Reach;"Befriend the Jarl of The Reach 
Assist five citizens of The Reach 
purchase Vlindrel Hall 
Return to the Jarl";Befriend the xorgx xmiscx xlocx xorgx Assist five citizens xmiscx xlocx xorgx purchase Vlindrel xlocx Return to the xorgx
skyrim;869126;Thane of Whiterun;"Assist five citizens of Whiterun 
Purchase Breezehome 
Return to the Jarl";Assist five citizens xmiscx xlocx Purchase Breezehome Return to the xorgx
skyrim;869087;Thane of Winterhold;"Befriend the Jarl of Winterhold 
Assist three citizens of Winterhold 
Return to the Jarl";Befriend the xorgx xmiscx xlocx Assist three citizens xmiscx xlocx Return to the xorgx
skyrim;863832;That Was Always There;"Plant Viola's Gold Ring in Viola Giordano's House 
Tell Revyn Viola's Gold Ring has been planted";Plant xperx 's Gold xmiscx in xperx Giordano 's xlocx Tell xorgx xperx 's Gold xmiscx has been planted
skyrim;109544;The Affairs of Hagravens;Kill the Hagraven Petra;xorgx the Hagraven Petra
skyrim;92607;The Battle for Fort Amol;"Join the men attacking Fort Amol 
Take over Fort Amol by defeating the enemy";Join the men attacking Fort Amol Take over Fort Amol by defeating the enemy
skyrim;71084;The Battle for Fort Dunstad;"Join the men attacking Fort Dunstad 
Take over Fort Dunstad by defending the enemy";Join the men attacking Fort Dunstad Take over Fort Dunstad by defending the enemy
skyrim;71214;The Battle for Fort Greenwall;"Join the men attacking Fort Greenwall 
Take over Fort Greenwall by defeating the enemy";Join the men attacking Fort Greenwall Take over Fort Greenwall by defeating the enemy
skyrim;82122;The Battle for Fort Hraggstad;"Join the men attacking Fort Hraggstad 
Take over Fort Hraggstad by defeating the enemy";Join the men attacking Fort Hraggstad Take over Fort Hraggstad by defeating the enemy
skyrim;501001;The Battle for Fort Kastav;"Join the men attacking Fort Kastav 
Take over Fort Kastav by defeating the enemy";Join the men attacking Fort Kastav Take over Fort Kastav by defeating the enemy
skyrim;1038665;The Battle for Fort Neugrad;"Join the men attacking Fort Neugrad 
Take over Fort Neugrad by defeating the enemy";Join the men attacking Fort Neugrad Take over Fort Neugrad by defeating the enemy
skyrim;89693;The Battle for Fort Snowhawk;"Join the Men attacking Fort Snowhawk 
Take over Fort Snowhawk by defeating the enemy";Join the xperx attacking Fort Snowhawk Take over Fort Snowhawk by defeating the enemy
skyrim;89690;The Battle for Fort Sungard;"Join the men attacking Fort Sungard 
Take over Fort Sungard by defeating the enemy";Join the men attacking Fort Sungard Take over Fort Sungard by defeating the enemy
skyrim;68130;The Bedlam Job;"Steal 500 gold in goods from the specified city 
Return to Delvin";Steal 500 gold in goods from the specified city Return to xlocx
skyrim;52009;The Black Star (Quest);"Visit the Shrine of Azura 
Find the elven mage for Aranea's vision 
Speak with Nelacar 
Find Azura's Star 
Bring the Star to Aranea or Nelacar 
Speak to Azura (If brought to Aranea) 
Tell Azura you're ready to enter the Star (If brought to Aranea) 
Tell Nelacar you're ready to enter the Star (If brought to Nelacar) 
Destroy Malyn Varen's soul";Visit the xlocx xmiscx Azura xmiscx the elven mage for xlocx 's vision Speak with xlocx xmiscx Azura 's xmiscx Bring the xmiscx to xlocx or xlocx Speak to Azura ( If brought to xlocx ) Tell Azura you 're ready to enter the xmiscx ( If brought to xlocx ) Tell xlocx you 're ready to enter the xmiscx ( If brought to xlocx ) Destroy Malyn Varen 's soul
skyrim;58532;The Blessings of Nature;"Talk to Danica about the Gildergreen being destroyed 
Retrieve Nettlebane 
Bring Nettlebane to Danica 
Retrieve Eldergleam sap 
Follow Maurice (if taking sapling instead of sap) 
Take sapling (if taking sapling instead of sap) 
Return to Danica";Talk to xlocx about the Gildergreen being destroyed Retrieve Nettlebane Bring Nettlebane to xlocx Retrieve Eldergleam sap Follow Maurice ( if taking sapling instead xmiscx sap ) Take sapling ( if taking sapling instead xmiscx sap ) Return to xlocx
skyrim;76437;The Bonds of Matrimony;"Speak to Maramal about arranging the wedding 
Attend wedding ceremony";Speak to xperx about arranging the wedding Attend wedding ceremony
skyrim;63671;The Book of Love;"Talk to Fastred 
Talk to Fastred's parents 
Talk to Bassianus or Klimmek 
Return to Dinya Balu 
Talk to Calcelmo 
Get advice from Yngvar 
Deliver the poem 
Deliver Faleen's letter 
Return to Dinya Balu 
Put on the Amulet of Mara 
Talk to the long-dead lover 
Find Fenrig 
Bring Fenrig to Ruki 
Return to Dinya Balu";Talk to xperx Talk to xperx 's parents Talk to xperx or xperx Return to xlocx Balu Talk to xperx Get advice from xperx Deliver the poem Deliver xperx 's letter Return to xlocx Balu Put on the Amulet xmiscx xperx Talk to the long-dead lover xmiscx xperx Bring xperx to xlocx Return to xlocx Balu
skyrim;54306;The Break of Dawn;"Find Meridia's beacon 
Bring Meridia's beacon to Mount Kilkreath 
Replace the beacon 
Guide Meridia's Light through the temple 
Destroy Malkoran 
Retrieve Dawnbreaker";xmiscx Meridia 's beacon Bring Meridia 's beacon to Mount Kilkreath Replace the beacon Guide Meridia 's Light through the temple Destroy Malkoran Retrieve Dawnbreaker
skyrim;71871;The Burglary Job;"Retrieve the item from the wealthy home in the city 
Return the item to Vex";Retrieve the item from the wealthy home in the city Return the item to xorgx
skyrim;64388;The Cure for Madness;"Talk to Astrid 
Search Cicero's room 
Read Cicero's diary 
Talk to Astrid 
Behold Shadowmere 
Locate Arnbjorn 
Talk to Arnbjorn 
Enter the Dawnstar Sanctuary 
Kill Cicero 
Kill Cicero, or leave the Sanctuary 
Report back to Astrid";Talk to xperx Search xperx 's room Read xperx 's diary Talk to xperx Behold xmiscx Locate xperx Talk to xperx Enter the xlocx xlocx xorgx xperx xorgx xperx , or leave the xlocx Report back to xperx
skyrim;63410;The Cursed Tribe;"Find out what's happening in Largashbur 
Bring Troll Fat and a Daedra Heart to Atub 
Observe Atub's ritual 
Speak to Yamarz 
Meet Yamarz at Fallowstone Cave 
Protect Yamarz 
Defeat the Giant 
Take Shagrol's Warhammer back to Largashbur 
Place Shagrol's Warhammer on the Shrine in Largashbur";xmiscx out what 's happening in xlocx Bring Troll Fat xorgx a xmiscx Heart to xperx Observe xperx 's ritual Speak to Yamarz Meet Yamarz at Fallowstone Cave Protect Yamarz Defeat the Giant Take Shagrol 's Warhammer back to xlocx Place Shagrol 's Warhammer on the xlocx in xlocx
skyrim;266530;The Dainty Sload;"Speak to Erikur. 
Speak to Sabine Nytte at the East Empire Company docks. 
Acquire Balmora Blue. 
Plant the Balmora Blue on the Dainty Sload. 
Speak to Erikur.";Speak to xorgx . Speak to Sabine Nytte at the xlocx Empire Company docks . Acquire Balmora xlocx . Plant the Balmora xlocx on the Dainty xmiscx . Speak to xorgx .
skyrim;51382;The Dark Brotherhood Forever;"Approach the Night Mother 
Speak with the contact 
Kill the target";Approach the xlocx xperx Speak with the contact xorgx the target
skyrim;44502;The Eye of Magnus;"Use the Staff of Magnus to enter the College of Winterhold 
Reach the Hall of the Elements 
Defeat Ancano 
Talk to Tolfdir 
Speak with Quaranir";Use the xorgx xmiscx xperx to enter the xorgx xmiscx xlocx xorgx the xlocx xmiscx the xorgx Defeat xorgx Talk to xorgx Speak with xperx
skyrim;44497;The Fallen;"Learn shout to call Odahviing 
Prepare the trap 
Call Odahviing to Dragonsreach 
Defeat and trap Odahviing 
Interrogate Odahviing";Learn shout to call xorgx Prepare the trap Call xorgx to Dragonsreach Defeat xorgx trap xorgx Interrogate xorgx
skyrim;65850;The Fishing Job;"Retrieve the item from the target in a city 
Return to Delvin";Retrieve the item from the target in a city Return to xlocx
skyrim;65217;The Forgemaster's Fingers;"Find the Forgemaster's Fingers 
Bring the Forgemaster's Fingers to the Orc chief";xmiscx the Forgemaster 's Fingers Bring the Forgemaster 's Fingers to the xmiscx chief
skyrim;54584;The Forsworn Conspiracy;"Go to the Shrine of Talos 
Find evidence about Margret 
Find evidence about Weylin 
Obtain the key to Margret's room (optional) 
Talk to Margret (optional, if alive) 
Read Margret's Journal 
Find evidence about Thonar 
Obtain the key to Weylin's room (optional) 
Read Weylin's Note 
Find out who ""N"" is 
Find evidence about Nepos 
Read Thonar's Journal 
Return to Eltrys 
Read Nepos' Journal 
Return to Eltrys";xperx to the xlocx xmiscx xmiscx xmiscx evidence about xperx xmiscx evidence about xperx Obtain the key to xperx 's room ( optional ) Talk to xperx ( optional , if alive ) Read xperx 's xorgx xmiscx evidence about xperx Obtain the key to xperx 's room ( optional ) Read xperx 's Note xmiscx out who `` N '' is xmiscx evidence about xperx Read xperx 's xorgx Return to xlocx Read xperx ' xorgx Return to xlocx
skyrim;101720;The Ghost of Old Hroldan;Bring Hjalti's Sword to the Ghost of Old Hroldan;Bring xperx 's xmiscx to the xperx xmiscx Old Hroldan
skyrim;11439;The Golden Claw (Skyrim);"Retrieve the Golden Claw 
Cut Arvel down 
Retrieve the Golden Claw 
Find the secret of Bleak Falls Barrow 
Bring the claw to Lucan";Retrieve the xlocx Claw Cut Arvel down Retrieve the xlocx Claw xmiscx the secret xmiscx Bleak Falls xorgx Bring the claw to xlocx
skyrim;154036;The Great Skyrim Treasure Hunt;Find the treasure shown on the map;xmiscx the treasure shown on the map
skyrim;62655;The Heart of Dibella;"Speak to Degaine 
Steal the statue in the Temple of Dibella 
Bring the statue to Degaine 
Find the future Sybil of Dibella 
Rescue Fjotra from the Forsworn 
Bring Fjorta to the temple 
Pray at Dibella's Altar";Speak to xlocx Steal the statue in the xlocx xmiscx xlocx Bring the statue to xlocx xmiscx the future Sybil xmiscx xlocx Rescue xperx from the xorgx Bring xperx to the temple Pray at xlocx 's Altar
skyrim;68135;The Heist Job;"Retrieve the item from the business in the city 
Return the item to Vex";Retrieve the item from the business in the city Return the item to xorgx
skyrim;50699;The Horn of Jurgen Windcaller;"Retrieve the Horn of Jurgen Windcaller 
Meet with whomever took the horn 
Return the horn to Arngeir 
Learn the Word of Power from Wulfgar 
Receive the Greybeards' greeting";Retrieve the Horn xmiscx Jurgen Windcaller Meet with whomever took the horn Return the horn to xorgx Learn the xmiscx xmiscx Power from xperx Receive the xorgx ' greeting
skyrim;52021;The House of Horrors;"Search the abandoned house 
Find your reward 
Find the priest of Boethia 
Free Logrolf 
Go to the abandoned house 
Beat Logrolf into submission 
Kill Logrolf 
Speak to Molag Bal";Search the abandoned house xmiscx your reward xmiscx the priest xmiscx Boethia Free xorgx xperx to the abandoned house Beat xorgx into submission xorgx xorgx Speak to Molag Bal
skyrim;57331;The Jagged Crown (Quest);"Talk to Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") 
Meet Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") outside of Korvanjund 
Retrieve the Jagged Crown 
Follow Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") 
Find a way past the ambush 
Follow Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") 
Open the Hall of Stories door 
Follow Legate Rikke (If the Dragonborn joined the Stormcloaks: ""Galmar"") 
Find a way to open the gate 
Defeat the Draugr 
Defeat the enemy soldiers 
Deliver the crown to General Tullius (If the Dragonborn joined the Stormcloaks: ""Ulfric Stormcloak"") 
Get new orders";Talk to Legate xperx ( If the xmiscx joined the xorgx : `` xorgx '' ) Meet Legate xperx ( If the xmiscx joined the xorgx : `` xorgx '' ) outside xmiscx xlocx Retrieve the Jagged xmiscx Follow Legate xperx ( If the xmiscx joined the xorgx : `` xorgx '' ) xmiscx a way past the ambush Follow Legate xperx ( If the xmiscx joined the xorgx : `` xorgx '' ) Open the xlocx xmiscx Stories door Follow Legate xperx ( If the xmiscx joined the xorgx : `` xorgx '' ) xmiscx a way to open the gate Defeat the xorgx Defeat the enemy soldiers Deliver the crown to General xperx ( If the xmiscx joined the xorgx : `` xperx xorgx '' ) Get new orders
skyrim;56783;The Litany of Larceny;"Return the Queen bee Statue to Delvin 
Return the Honningbrew Decanter to Delvin 
Return the East Empire Shipping Map to Delvin 
Return the Ship Model to Delvin 
Return the Dwemer Puzzle Cube to Delvin 
Return the Bust of the Gray Fox to Delvin 
Return the Eye of the Falmer to Delvin";Return the Queen bee Statue to xlocx Return the Honningbrew Decanter to xlocx Return the xlocx Empire Shipping Map to xlocx Return the Ship Model to xlocx Return the Dwemer Puzzle xmiscx to xlocx Return the Bust xmiscx the Gray Fox to xlocx Return the Eye xmiscx the Falmer to xlocx
skyrim;68387;The Lost Expedition;"Recover Stromm's Diary 
Recover Erj's Notes 
Recover Krag's Journal 
Recover Staubin's Diary 
Re-activate Nchuand-Zel's automated defences 
Find someone who knows about the expedition";Recover xperx 's Diary Recover xperx 's Notes Recover xperx 's xorgx Recover xperx 's Diary Re-activate Nchuand-Zel 's automated defences xmiscx someone who knows about the expedition
skyrim;64443;The Lover's Requital;"Discover Svidi's whereabouts 
Tell Sibbi Black-Briar about Lynly or lie to Sibbi Black-Briar about Lynly";Discover Svidi 's whereabouts Tell Sibbi Black-Briar about Lynly or lie to Sibbi Black-Briar about Lynly
skyrim;61578;The Man Who Cried Wolf;"Speak to Falk Firebeard in Solitude 
Clear out Wolfskull Cave, killing the necromancers conducting the binding ritual 
Return to Falk to get the reward";Speak to xlocx xorgx in xmiscx Clear out Wolfskull Cave , killing the necromancers conducting the binding ritual Return to xlocx to get the reward
skyrim;54977;The Mind of Madness;"Gain access to the Pelagius Wing of the Blue Palace 
Use the key to gain access to the Pelagius Wing 
Search for Dervenin's master in the Pelagius Wing 
Use the Wabbajack to escape from Pelagius' mind";Gain access to the xperx xlocx xmiscx the xlocx Palace Use the key to gain access to the xperx xlocx Search for xperx 's master in the xperx xlocx Use the Wabbajack to escape from xperx ' mind
skyrim;139286;The Missing Apprentices;Talk to Phinis Gestor and learn of the missing apprentices;Talk to xperx Gestor xorgx learn xmiscx the missing apprentices
skyrim;65823;The Numbers Job;"Make changes in the ledger at the business in the city 
Return to Delvin";Make changes in the ledger at the business in the city Return to xlocx
skyrim;54313;The Only Cure;"Find Kesh at the Peryite shrine 
Obtain some vampire dust 
Obtain a deathbell flower 
Obtain a silver ingot 
Obtain a flawless ruby 
Deliver the ingredients 
Inhale the fumes 
Kill Orchendor 
Report Orchendor's death to Peryite";xmiscx xperx at the xorgx shrine Obtain some vampire dust Obtain a deathbell flower Obtain a silver ingot Obtain a flawless ruby Deliver the ingredients Inhale the fumes xorgx Orchendor Report Orchendor 's death to xorgx
skyrim;72005;The Pale Lady (Quest);"Learn more about the theft in Frostmere Crypt (optional) 
Find the stolen sword 
Follow Kyr and Ra'jirr into the tunnels 
Banish the Pale Lady (return the sword or kill the Pale Lady)";Learn more about the theft in Frostmere Crypt ( optional ) xmiscx the stolen sword Follow xperx xorgx Ra'jirr into the tunnels Banish the xorgx Lady ( return the sword or kill the xorgx Lady )
skyrim;62921;The Pursuit;"Meet Karliah at the Ragged Flagon 
Follow Karliah 
Speak to Brynjolf 
Infiltrate Mercer's House, Riftweald Manor 
Speak to Vex about Vald (optional) 
Shoot the mechanism to lower the ramp (optional) 
Discover evidence of Mercer's location 
Speak to Brynjolf";Meet xperx at the Ragged Flagon Follow xperx Speak to xperx Infiltrate xperx 's xlocx , Riftweald Manor Speak to xorgx about Vald ( optional ) Shoot the mechanism to lower the ramp ( optional ) Discover evidence xmiscx xperx 's location Speak to xperx
skyrim;73851;The Raid;"Identify Riften's Skooma dealer 
Report Sarthis Idren to the Jarl of Riften 
Enter Riften Warehouse 
Eliminate Sarthis Idren 
Recover Skooma source information";Identify xorgx 's xorgx dealer Report Sarthis Idren to the xorgx xmiscx xorgx Enter xorgx Warehouse Eliminate Sarthis Idren Recover xorgx source information
skyrim;115825;The Savior of Selveni Nethri;Help Selveni Nethri escape the cave;Help Selveni Nethri escape the cave
skyrim;71385;The Shill Job;"Plant the evidence in the wealthy home in the city 
Return to Vex";Plant the evidence in the wealthy home in the city Return to xorgx
skyrim;63903;The Silence Has Been Broken;"Speak with Astrid 
Speak with Amaund Motierre 
Talk to Rexus 
Deliver the letter and amulet to Astrid 
Show the amulet to Delvin Mallory 
Report back to Astrid";Speak with xperx Speak with Amaund Motierre Talk to xperx Deliver the letter xorgx amulet to xperx Show the amulet to xlocx Mallory Report back to xperx
skyrim;51449;The Silver Hand;"Talk to Skjor 
Meet with Skjor at night 
Enter The Underforge 
Participate in the blood ritual 
Talk to Aela 
Kill the werewolf hunters 
Talk to Aela";Talk to xperx Meet with xperx at night Enter xlocx Underforge Participate in the blood ritual Talk to xperx xorgx the werewolf hunters Talk to xperx
skyrim;119304;The Spiced Wine;"Convince Vittoria Vici to release the Spiced Wine shipment 
Tell Evette San that Vittoria Vici agreed to release the shipment";Convince Vittoria Vici to release the Spiced xmiscx shipment Tell Evette San that Vittoria Vici agreed to release the shipment
